mois,ca_predit,nb_sessions,capacite_totale
2026-05,3564.1999788691805,2,550
2026-06,19354.63403811956,16,990
2026-07,8353.69098604648,7,175
2026-08,6906.346359663104,7,450
2026-09,30053.97077780399,23,1480
2026-10,34047.43530989768,29,1870
2026-11,26720.624611268282,19,1885
2026-12,29424.623569357045,16,2895
